timestamp,sender,receiver,platform,message
2026-02-05 07:52,Mom,Rahul,WhatsApp,Did you call the LIC agent?
2026-02-05 07:58,Rahul,Mom,WhatsApp,Papa wants to talk about your internship.
2026-02-05 08:10,Mom,Rahul,WhatsApp,Your aunt was asking about you.
2026-02-05 08:14,Rahul,Mom,WhatsApp,Your aunt was asking about you.
2026-02-05 11:27,Mom,Rahul,WhatsApp,"Drink plenty of water, it's hot today."
2026-02-05 11:31,Rahul,Mom,WhatsApp,I sent some home-made snacks with the courier.
2026-02-05 11:37,Mom,Rahul,WhatsApp,"Drink plenty of water, it's hot today."
2026-02-05 11:40,Rahul,Mom,WhatsApp,"Drink plenty of water, it's hot today."
2026-02-05 19:02,Mom,Rahul,WhatsApp,Did you call the LIC agent?
2026-02-05 19:06,Rahul,Mom,WhatsApp,Did you call the LIC agent?
2026-02-05 19:20,Mom,Rahul,WhatsApp,Papa wants to talk about your internship.
2026-02-05 19:34,Rahul,Mom,WhatsApp,When are you coming home?
2026-02-05 21:12,Mom,Rahul,WhatsApp,"Beta, did you eat breakfast?"
2026-02-05 21:22,Rahul,Mom,WhatsApp,I sent some home-made snacks with the courier.
2026-02-05 21:35,Mom,Rahul,WhatsApp,"Beta, did you eat breakfast?"
2026-02-05 21:37,Rahul,Mom,WhatsApp,I sent some home-made snacks with the courier.
2026-02-06 00:05,Mom,Rahul,WhatsApp,Reply when you are free.
2026-02-06 00:17,Rahul,Mom,WhatsApp,God bless you beta.
2026-02-06 00:31,Mom,Rahul,WhatsApp,You don't have time for your mother anymore.
2026-02-06 00:39,Rahul,Mom,WhatsApp,"I saw your photo, you look thin."
2026-02-06 05:32,Mom,Rahul,WhatsApp,"Beta, did you eat breakfast?"
2026-02-06 05:37,Rahul,Mom,WhatsApp,"Beta, did you eat breakfast?"
2026-02-06 05:45,Mom,Rahul,WhatsApp,"Beta, did you eat breakfast?"
2026-02-06 05:53,Rahul,Mom,WhatsApp,"Drink plenty of water, it's hot today."
